region_type,region_id,wage_type,a1c0,a1c1,a1c2,a2w2c0,a2w2c2,a2w1c2
county,50001,Living Wage,24.51,47.4,64.24,17.19,34.75,46.11
county,50001,Minimum Wage,14.01,14.01,14.01,14.01,14.01,14.01
county,50001,Poverty Wage,7.52,10.17,12.81,5.08,7.73,15.46
county,50003,Living Wage,22.47,43.09,57.97,16.42,31.45,42.84
county,50003,Minimum Wage,14.01,14.01,14.01,14.01,14.01,14.01
county,50003,Poverty Wage,7.52,10.17,12.81,5.08,7.73,15.46
county,50005,Living Wage,22.4,40.73,53.83,15.96,29.53,42.29
county,50005,Minimum Wage,14.01,14.01,14.01,14.01,14.01,14.01
county,50005,Poverty Wage,7.52,10.17,12.81,5.08,7.73,15.46
county,50007,Living Wage,25.63,55.35,76.13,18.22,40.48,48.89
county,50007,Minimum Wage,14.01,14.01,14.01,14.01,14.01,14.01
county,50007,Poverty Wage,7.52,10.17,12.81,5.08,7.73,15.46
county,50009,Living Wage,22.06,39.88,52.88,15.76,29.02,41.09
county,50009,Minimum Wage,14.01,14.01,14.01,14.01,14.01,14.01
county,50009,Poverty Wage,7.52,10.17,12.81,5.08,7.73,15.46
county,50011,Living Wage,24.25,47.55,63.84,17.21,34.48,46.33
county,50011,Minimum Wage,14.01,14.01,14.01,14.01,14.01,14.01
county,50011,Poverty Wage,7.52,10.17,12.81,5.08,7.73,15.46
county,50013,Living Wage,25.85,53.28,72.5,18.14,38.69,48.65
county,50013,Minimum Wage,14.01,14.01,14.01,14.01,14.01,14.01
county,50013,Poverty Wage,7.52,10.17,12.81,5.08,7.73,15.46
county,50015,Living Wage,23.22,45.55,61.57,16.76,33.45,45.27
county,50015,Minimum Wage,14.01,14.01,14.01,14.01,14.01,14.01
county,50015,Poverty Wage,7.52,10.17,12.81,5.08,7.73,15.46
county,50017,Living Wage,23.97,45.55,61.75,16.92,33.51,44.96
county,50017,Minimum Wage,14.01,14.01,14.01,14.01,14.01,14.01
county,50017,Poverty Wage,7.52,10.17,12.81,5.08,7.73,15.46
county,50019,Living Wage,21.79,40.36,53.13,15.9,29.11,41.6
county,50019,Minimum Wage,14.01,14.01,14.01,14.01,14.01,14.01
county,50019,Poverty Wage,7.52,10.17,12.81,5.08,7.73,15.46
county,50021,Living Wage,22.66,42.18,55.94,16.1,30.45,42.91
county,50021,Minimum Wage,14.01,14.01,14.01,14.01,14.01,14.01
county,50021,Poverty Wage,7.52,10.17,12.81,5.08,7.73,15.46
county,50023,Living Wage,23.63,45.38,60.82,16.69,32.96,44.96
county,50023,Minimum Wage,14.01,14.01,14.01,14.01,14.01,14.01
county,50023,Poverty Wage,7.52,10.17,12.81,5.08,7.73,15.46
county,50025,Living Wage,22.7,43.75,58.58,16.48,31.78,43.57
county,50025,Minimum Wage,14.01,14.01,14.01,14.01,14.01,14.01
county,50025,Poverty Wage,7.52,10.17,12.81,5.08,7.73,15.46
county,50027,Living Wage,24.19,44.73,60.24,17.03,32.73,44.63
county,50027,Minimum Wage,14.01,14.01,14.01,14.01,14.01,14.01
county,50027,Poverty Wage,7.52,10.17,12.81,5.08,7.73,15.46
state,50,Living Wage,23.95,47.29,63.91,17.06,34.47,45.47
state,50,Minimum Wage,14.01,14.01,14.01,14.01,14.01,14.01
state,50,Poverty Wage,7.52,10.17,12.81,5.08,7.73,15.46
